Term,Section,Former,Title,Credits,Instructional Method,Location,Start Date,End Date,Meeting Days,Start Time,End Time,Instructor(s),Seats Remaining,GERS,Purpose,Prequisites,Notes,Sort,Courses ID
Spring 2018 - Day,ART-200-01,ART-31,Ceramics I,4,EXAM,RAB CRS,04/26/18,04/26/18,R,08:30AM,11:00AM,,12,,undergraduate day,ART-113 and ART-124,,2,2656
Spring 2018 - Day,ART-201-01,ART-41,Ceramics II,4,STU,RAB CRS,01/08/18,04/24/18,TR,11:30AM,01:20PM,Dr. Bob Chance,12,,undergraduate day,ART-112,,1,2657
Spring 2018 - Day,ART-201-01,ART-41,Ceramics II,4,EXAM,RAB CRS,04/26/18,04/26/18,R,12:00PM,02:30PM,,12,,undergraduate day,ART-112,,2,2657
Spring 2018 - Day,ART-204-01,ART-42,Painting II,4,STU,RAB PTS,01/08/18,04/24/18,MR,02:30PM,04:20PM,Kathleen F. Walker,12,,undergraduate day,ART-113 and ART-124,,1,2662
Spring 2018 - Day,ART-204-01,ART-42,Painting II,4,EXAM,RAB PTS,04/30/18,04/30/18,M,03:30PM,06:00PM,,12,,undergraduate day,ART-113 and ART-124,,2,2662
Spring 2018 - Day,ART-205-01,ART-33,Photography I,4,STU,RAB SMR,01/08/18,04/24/18,MW,11:30AM,01:20PM,Professor Terri L. Bright,12,VP,undergraduate day,ART-111,,1,2663
Spring 2018 - Day,ART-205-01,ART-33,Photography I,4,ADD,RAB PTS,01/08/18,04/24/18,,,,,12,VP,undergraduate day,ART-111,,2,2663
Spring 2018 - Day,ART-205-01,ART-33,Photography I,4,EXAM,RAB SMR,04/28/18,04/28/18,S,12:00PM,02:30PM,,12,VP,undergraduate day,ART-111,,3,2663
Spring 2018 - Day,ART-206-01,ART-43,Color & Digital Photography,4,STU,RAB SMR,01/08/18,04/24/18,TR,09:30AM,11:20AM,Professor Terri L. Bright,8,,undergraduate day,ART-205,,1,2664
Spring 2018 - Day,ART-206-01,ART-43,Color & Digital Photography,4,ADD,RAB PHS,01/08/18,04/24/18,,,,,8,,undergraduate day,ART-205,,2,2664
Spring 2018 - Day,ART-206-01,ART-43,Color & Digital Photography,4,EXAM,RAB SMR,04/26/18,04/26/18,R,08:30AM,11:00AM,,8,,undergraduate day,ART-205,,3,2664
Spring 2018 - Day,ART-207-01,ART-34,Printmaking I,4,STU,RAB PRS,01/08/18,04/24/18,MW,01:30PM,03:20PM,Mr. Jeremy R. Cody,12,,undergraduate day,ART-113 AND ART-125,,1,2665
Spring 2018 - Day,ART-207-01,ART-34,Printmaking I,4,EXAM,RAB PRS,04/30/18,04/30/18,M,12:00PM,02:30PM,,12,,undergraduate day,ART-113 AND ART-125,,2,2665
Spring 2018 - Day,ART-221-01,ART-50,Graphic Design II,4,STU,RAB DSS,01/08/18,04/24/18,TR,11:30AM,01:20PM,Jennifer A. Bernabe,12,,undergraduate day,ART-111,,1,2669
Spring 2018 - Day,ART-221-01,ART-50,Graphic Design II,4,EXAM,RAB DSS,04/26/18,04/26/18,R,12:00PM,02:30PM,,12,,undergraduate day,ART-111,,2,2669
Spring 2018 - Day,ART-231-01,ART-36,Arts of the Ancient World II,4,LEC,RAB LLR,01/08/18,04/24/18,TR,08:30AM,09:45AM,Dr. Carolyn Watson,24,,undergraduate day,,,1,2671
Spring 2018 - Day,ART-231-01,ART-36,Arts of the Ancient World II,4,EXAM,RAB LLR,04/26/18,04/26/18,R,08:30AM,11:00AM,,24,,undergraduate day,,,2,2671
Spring 2018 - Day,ART-251-01,ART-66,Contemporary Art Since 1960,4,LEC,RAB LLR,01/08/18,04/24/18,MWF,10:30AM,11:20AM,Staff Staff,24,VP,undergraduate day,,,1,4065
